iter	Passed	Remaining
0	139	139047
1	139	69708
2	140	46580
3	140	34954
4	140	28006
5	141	23372
6	141	20059
7	141	17575
8	141	15631
9	142	14085
10	142	12822
11	142	11768
12	143	10877
13	143	10114
14	143	9454
15	144	8876
16	144	8368
17	145	7916
18	145	7509
19	145	7142
20	146	6810
21	146	6509
22	146	6233
23	147	5981
24	147	5748
25	147	5533
26	148	5334
27	148	5150
28	148	4982
29	149	4823
30	149	4673
31	149	4533
32	150	4402
33	150	4277
34	150	4161
35	151	4050
36	151	3945
37	151	3846
38	152	3751
39	152	3662
40	152	3576
41	153	3496
42	153	3420
43	154	3346
44	154	3275
45	154	3208
46	155	3143
47	155	3081
48	155	3022
49	156	2965
50	156	2909
51	156	2857
52	157	2806
53	157	2757
54	157	2707
55	157	2661
56	158	2620
57	158	2578
58	159	2537
59	159	2497
60	159	2457
61	159	2419
62	160	2381
63	160	2346
64	160	2312
65	161	2279
66	161	2247
67	161	2216
68	162	2186
69	162	2157
70	162	2128
71	163	2102
72	163	2076
73	163	2050
74	164	2024
75	164	1999
76	164	1975
77	165	1952
78	165	1929
79	165	1906
80	166	1884
81	166	1863
82	166	1842
83	167	1822
84	167	1802
85	167	1783
86	168	1764
87	168	1746
88	168	1727
89	169	1709
90	169	1692
91	169	1674
92	170	1658
93	170	1642
94	170	1626
95	171	1610
96	171	1595
97	171	1581
98	172	1566
99	172	1552
100	172	1538
101	173	1525
102	173	1511
103	173	1498
104	174	1485
105	174	1472
106	174	1459
107	175	1447
108	175	1434
109	175	1422
110	176	1411
111	176	1399
112	176	1387
113	177	1376
114	177	1365
115	177	1355
116	178	1344
117	178	1334
118	178	1323
119	179	1313
120	179	1303
121	179	1293
122	180	1284
123	180	1274
124	180	1265
125	181	1255
126	181	1246
127	181	1238
128	181	1228
129	182	1219
130	182	1210
131	182	1203
132	183	1195
133	183	1187
134	184	1179
135	184	1171
136	184	1163
137	185	1155
138	185	1148
139	185	1140
140	185	1133
141	186	1126
142	186	1118
143	187	1112
144	187	1105
145	187	1098
146	188	1092
147	188	1085
148	188	1078
149	189	1071
150	189	1065
151	189	1059
152	190	1052
153	190	1046
154	190	1040
155	191	1034
156	191	1028
157	191	1022
158	192	1016
159	192	1010
160	192	1005
161	193	999
162	193	994
163	193	988
164	194	983
165	194	977
166	194	972
167	195	966
168	195	961
169	195	956
170	196	951
171	196	946
172	196	941
173	197	936
174	197	931
175	197	926
176	198	922
177	198	917
178	198	912
179	199	907
180	199	903
181	199	898
182	200	894
183	200	890
184	201	885
185	201	881
186	201	877
187	202	872
188	202	868
189	202	864
190	203	860
191	203	856
192	203	852
193	204	848
194	204	844
195	204	840
196	205	836
197	205	832
198	205	828
199	206	824
200	206	821
201	206	817
202	207	813
203	207	809
204	207	806
205	208	802
206	208	799
207	208	795
208	209	792
209	209	788
210	209	785
211	210	781
212	210	778
213	211	775
214	211	771
215	211	768
216	211	764
217	212	761
218	212	758
219	213	755
220	213	752
221	213	748
222	214	745
223	214	742
224	214	739
225	215	736
226	215	733
227	215	730
228	216	727
229	216	724
230	216	721
231	217	718
232	217	715
233	217	712
234	218	710
235	218	707
236	218	704
237	219	701
238	219	698
239	219	695
240	220	693
241	220	690
242	220	687
243	221	684
244	221	682
245	221	679
246	221	676
247	222	674
248	222	671
249	223	669
250	223	666
251	223	664
252	224	661
253	224	659
254	224	656
255	225	654
256	225	651
257	225	649
258	226	646
259	226	644
260	226	641
261	227	639
262	227	637
263	227	634
264	228	632
265	228	630
266	228	627
267	229	625
268	229	623
269	229	621
270	230	618
271	230	616
272	230	614
273	231	612
274	231	610
275	231	607
276	232	605
277	232	603
278	232	601
279	233	599
280	233	597
281	233	595
282	234	593
283	234	590
284	234	588
285	235	586
286	235	584
287	235	582
288	236	580
289	236	578
290	236	576
291	237	574
292	237	572
293	237	570
294	238	569
295	238	567
296	238	565
297	239	563
298	239	561
299	239	559
300	240	557
301	240	555
302	240	553
303	241	551
304	241	550
305	241	548
306	242	546
307	242	544
308	242	543
309	243	541
310	243	539
311	243	537
312	244	535
313	244	534
314	244	532
315	245	530
316	245	528
317	245	527
318	246	525
319	246	523
320	246	522
321	247	520
322	247	518
323	247	517
324	248	515
325	248	514
326	248	512
327	249	510
328	249	509
329	249	507
330	250	505
331	250	504
332	250	502
333	251	500
334	251	499
335	251	497
336	252	496
337	252	494
338	252	493
339	253	491
340	253	490
341	253	488
342	254	487
343	254	485
344	254	484
345	255	482
346	255	481
347	255	479
348	256	478
349	256	476
350	257	475
351	257	473
352	257	472
353	258	471
354	258	469
355	258	468
356	259	467
357	260	466
358	260	465
359	261	464
360	261	463
361	262	462
362	262	460
363	263	459
364	263	458
365	263	456
366	264	455
367	264	454
368	264	453
369	265	451
370	265	450
371	266	449
372	266	448
373	266	446
374	267	445
375	267	444
376	268	443
377	268	442
378	268	440
379	269	439
380	269	438
381	270	436
382	270	435
383	270	434
384	271	433
385	271	432
386	271	430
387	272	429
388	272	428
389	273	427
390	274	426
391	274	425
392	274	424
393	275	423
394	275	422
395	276	420
396	276	419
397	276	418
398	278	418
399	278	417
400	278	416
401	279	415
402	279	414
403	279	412
404	280	411
405	280	410
406	280	409
407	281	408
408	281	407
409	282	405
410	282	404
411	282	403
412	283	402
413	283	401
414	283	400
415	284	399
416	284	397
417	284	396
418	285	395
419	285	394
420	286	393
421	286	392
422	286	391
423	287	390
424	287	389
425	287	387
426	288	386
427	288	385
428	288	384
429	289	383
430	289	382
431	289	381
432	290	380
433	290	379
434	290	377
435	291	376
436	291	375
437	292	374
438	292	373
439	292	372
440	293	371
441	293	370
442	293	369
443	294	368
444	294	367
445	294	366
446	295	365
447	295	364
448	295	363
449	296	362
450	296	361
451	296	360
452	297	359
453	297	358
454	298	357
455	298	356
456	298	355
457	299	354
458	299	353
459	299	352
460	300	351
461	300	350
462	300	349
463	301	348
464	301	347
465	302	346
466	302	345
467	302	344
468	303	343
469	303	342
470	304	341
471	304	340
472	304	339
473	305	338
474	305	337
475	305	336
476	306	335
477	306	334
478	306	333
479	307	332
480	307	332
481	308	331
482	308	330
483	308	329
484	309	328
485	309	327
486	309	326
487	310	325
488	310	324
489	310	323
490	311	322
491	311	321
492	311	320
493	312	319
494	312	318
495	312	317
496	313	316
497	313	315
498	313	315
499	314	314
500	314	313
501	314	312
502	315	311
503	315	310
504	315	309
505	316	308
506	316	307
507	316	306
508	317	305
509	317	305
510	317	304
511	318	303
512	318	302
513	318	301
514	319	300
515	319	299
516	319	298
517	320	297
518	320	297
519	320	296
520	321	295
521	321	294
522	321	293
523	322	292
524	322	291
525	322	291
526	323	290
527	323	289
528	323	288
529	324	287
530	324	286
531	324	285
532	325	284
533	325	284
534	325	283
535	326	282
536	326	281
537	326	280
538	327	280
539	327	279
540	328	278
541	328	277
542	328	276
543	329	275
544	329	275
545	329	274
546	330	273
547	330	272
548	331	271
549	331	271
550	331	270
551	332	269
552	332	268
553	332	268
554	333	267
555	333	266
556	333	265
557	334	264
558	334	263
559	334	263
560	335	262
561	335	261
562	335	260
563	336	259
564	336	259
565	337	258
566	337	257
567	337	256
568	338	256
569	338	255
570	338	254
571	339	253
572	339	253
573	339	252
574	340	251
575	340	250
576	341	250
577	341	249
578	341	248
579	342	247
580	342	247
581	343	246
582	343	245
583	343	244
584	344	244
585	344	243
586	344	242
587	345	241
588	345	241
589	345	240
590	346	239
591	346	238
592	346	238
593	347	237
594	347	236
595	348	236
596	348	235
597	349	234
598	349	233
599	349	233
600	350	232
601	350	231
602	350	231
603	351	230
604	351	229
605	352	228
606	352	228
607	352	227
608	353	226
609	353	226
610	353	225
611	354	224
612	354	224
613	355	223
614	355	222
615	355	221
616	356	221
617	356	220
618	357	219
619	357	219
620	357	218
621	358	217
622	358	217
623	359	216
624	359	215
625	359	214
626	360	214
627	360	213
628	360	212
629	361	212
630	361	211
631	361	210
632	362	210
633	362	209
634	363	208
635	363	208
636	363	207
637	364	206
638	364	205
639	365	205
640	365	204
641	365	203
